date,time,,direction,balance,unrealized_p/l,yield,aop,esp,aop-esp_diff,alert_zlema,alert_tdi,alert_heikin,alert_ma,alert_hccco,alert_cm_ult
2023-04-07,04:54:10,Multi,14.81,-2.87,-28.72%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:53:53,Multi,14.85,-2.83,-28.26%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:52:56,Multi,15.15,-2.53,-25.25%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:52:39,Multi,15.15,-2.53,-25.25%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:52:21,Multi,15.15,-2.53,-25.25%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:52:03,Multi,15.15,-2.53,-25.25%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:51:44,Multi,14.81,-2.87,-28.72%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:51:26,Multi,14.81,-2.87,-28.72%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:50:55,Multi,14.81,-2.87,-28.72%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:50:36,Multi,14.81,-2.87,-28.72%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:50:18,Multi,14.85,-2.83,-28.26%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:49:56,Multi,15.08,-2.60,-26%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:49:31,Multi,15.12,-2.56,-25.57%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:49:12,Multi,15.47,-2.21,-22.1%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:48:49,Multi,15.41,-2.27,-22.67%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:48:29,Multi,15.25,-2.43,-24.32%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:48:07,Multi,15.20,-2.48,-24.78%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:47:43,Multi,15.25,-2.43,-24.28%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
2023-04-07,04:47:22,Multi,15.25,-2.43,-24.28%,,27915.90,27617.80,298.10,LONG,LONG,LONG,LONG,LONG,LONG
